Category,App,Installs
ART_AND_DESIGN,61,114233100
AUTO_AND_VEHICLES,73,53129800
BEAUTY,42,26916200
BOOKS_AND_REFERENCE,169,1665791655
BUSINESS,262,692018120
COMICS,54,44931100
COMMUNICATION,257,11039241530
DATING,134,140912410
EDUCATION,118,352852000
ENTERTAINMENT,102,2113660000
EVENTS,45,15949410
FAMILY,1606,4437554490
FINANCE,296,455249400
FOOD_AND_DRINK,94,211677750
GAME,910,13858762717
HEALTH_AND_FITNESS,243,1134006220
HOUSE_AND_HOME,62,97082000
LIBRARIES_AND_DEMO,64,52083000
LIFESTYLE,297,503611120
MAPS_AND_NAVIGATION,118,503267560
MEDICAL,292,39162676
NEWS_AND_MAGAZINES,204,2369110650
PARENTING,50,31116110
PERSONALIZATION,296,1532341930
PHOTOGRAPHY,263,4649143130
PRODUCTIVITY,301,5788070180
SHOPPING,180,1400331540
SOCIAL,203,5487841475
SPORTS,260,1096431465
TOOLS,719,8099724500
TRAVEL_AND_LOCAL,187,2894859300
VIDEO_PLAYERS,148,3916897200
WEATHER,72,361096500
