,Category,Type,App
0,ART_AND_DESIGN,Free,58
1,ART_AND_DESIGN,Paid,3
2,AUTO_AND_VEHICLES,Free,72
3,AUTO_AND_VEHICLES,Paid,1
4,BEAUTY,Free,42
5,BOOKS_AND_REFERENCE,Free,161
6,BOOKS_AND_REFERENCE,Paid,8
7,BUSINESS,Free,253
8,BUSINESS,Paid,9
9,COMICS,Free,54
10,COMMUNICATION,Free,235
11,COMMUNICATION,Paid,22
12,DATING,Free,131
13,DATING,Paid,3
14,EDUCATION,Free,114
15,EDUCATION,Paid,4
16,ENTERTAINMENT,Free,100
17,ENTERTAINMENT,Paid,2
18,EVENTS,Free,45
19,FAMILY,Free,1456
20,FAMILY,Paid,150
21,FINANCE,Free,289
22,FINANCE,Paid,7
23,FOOD_AND_DRINK,Free,92
24,FOOD_AND_DRINK,Paid,2
25,GAME,Free,834
26,GAME,Paid,76
27,HEALTH_AND_FITNESS,Free,232
28,HEALTH_AND_FITNESS,Paid,11
29,HOUSE_AND_HOME,Free,62
30,LIBRARIES_AND_DEMO,Free,64
31,LIFESTYLE,Free,284
32,LIFESTYLE,Paid,13
33,MAPS_AND_NAVIGATION,Free,113
34,MAPS_AND_NAVIGATION,Paid,5
35,MEDICAL,Free,229
36,MEDICAL,Paid,63
37,NEWS_AND_MAGAZINES,Free,202
38,NEWS_AND_MAGAZINES,Paid,2
39,PARENTING,Free,48
40,PARENTING,Paid,2
41,PERSONALIZATION,Free,232
42,PERSONALIZATION,Paid,64
43,PHOTOGRAPHY,Free,248
44,PHOTOGRAPHY,Paid,15
45,PRODUCTIVITY,Free,283
46,PRODUCTIVITY,Paid,18
47,SHOPPING,Free,178
48,SHOPPING,Paid,2
49,SOCIAL,Free,201
50,SOCIAL,Paid,2
51,SPORTS,Free,238
52,SPORTS,Paid,22
53,TOOLS,Free,656
54,TOOLS,Paid,63
55,TRAVEL_AND_LOCAL,Free,179
56,TRAVEL_AND_LOCAL,Paid,8
57,VIDEO_PLAYERS,Free,144
58,VIDEO_PLAYERS,Paid,4
59,WEATHER,Free,65
60,WEATHER,Paid,7
